Name,Cuisine,Raiting
La Pizza & La Pasta - Eataly NYC Downtown, • Pizzeria • Financial District,Exceptional
The Odeon, • French • TriBeCa,Exceptional
Beauty & Essex- New York, • Unspecified • Lower East Side,Exceptional
,,
Blu on the Hudson, • Contemporary American • Weehawken,Exceptional
Kahlo Restaurant, • Mexican • Chelsea,Exceptional
Bocca Di Bacco (Chelsea - 20th St.), • Italian • Chelsea,Exceptional
Keepers, • Unspecified • Harrison,Awesome
TAO Downtown - New York, • Fusion / Eclectic • Chelsea,Exceptional
Little Owl, • Contemporary American • West Village,Exceptional
Blue Fin - New York, • Seafood • Theater District,Awesome
Bocca Di Bacco (Theatre District - 45th St.), • Italian • Theater District,Exceptional
Market Table, • Contemporary American • West Village,Awesome
Antoya (fka Samwon Garden), • Korean • NoMad,Exceptional
Casa de Paco, • Tapas / Small Plates • Newark,Exceptional
Zou Zou's, • Mediterranean • Hell's Kitchen,Exceptional
Legasea Bar & Grill, • Bar / Lounge / Bottle Service • Midtown West,Awesome
Bar Contra, • American • Lower East Side,Exceptional
