"La Pizza & La Pasta - Eataly NYC Downtown","Pizzeria","Exceptional","5","Financial District, NY","2025-09-26 19:52:00"
"The Odeon","French","Exceptional","5","TriBeCa, NY","2025-09-26 19:52:00"
"Beauty & Essex- New York","Unspecified","Exceptional","5","Lower East Side, NY","2025-09-26 19:52:00"
"Blu on the Hudson","Contemporary American","Exceptional","5","Weehawken, NY","2025-09-26 19:52:00"
"Kahlo Restaurant","Mexican","Exceptional","5","Chelsea, NY","2025-09-26 19:52:00"
"Bocca Di Bacco (Chelsea - 20th St.)","Italian","Exceptional","5","Chelsea, NY","2025-09-26 19:52:00"
"Keepers","Unspecified","Awesome","4.5","Harrison, NY","2025-09-26 19:52:00"
"TAO Downtown - New York","Fusion / Eclectic","Exceptional","5","Chelsea, NY","2025-09-26 19:52:00"
"The Smith- East Village","Contemporary American","Exceptional","5","East Village, NY","2025-09-26 19:52:00"
"Blue Ribbon Sushi Bar & Grill","Seafood","Exceptional","5","Theater District, NY","2025-09-26 19:52:00"
"Gjelina - New York","Italian","Exceptional","5","East Village, NY","2025-09-26 19:52:00"
"Brooklyn Chop House- Times Square","Contemporary American","Awesome","4.5","Theater District, NY","2025-09-26 19:52:00"
"Bar Primi Bowery","Korean","Awesome","4.5","NoMad, NY","2025-09-26 19:52:00"
"Pera Soho","Tapas / Small Plates","Awesome","4.5","Newark, NY","2025-09-26 19:52:00"
"Little Owl","Mediterranean","Exceptional","5","Hell's Kitchen, NY","2025-09-26 19:52:00"
"Temple Court","Bar / Lounge / Bottle Service","Exceptional","5","Midtown West, NY","2025-09-26 19:52:00"
"Clinton St. Baking Company & Restaurant","American","Exceptional","5","Lower East Side, NY","2025-09-26 19:52:00"
